Molecule ChEMBL ID,Standard Type,Standard Value,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D1_C_S,APC2D1_C_F,APC2D1_C_X,APC2D1_O_S,APC2D2_C_C,APC2D2_C_N,APC2D2_C_O,APC2D2_C_S,APC2D2_C_F,APC2D2_C_Cl,APC2D2_C_Br,APC2D2_C_X,APC2D2_N_O,APC2D2_F_F,APC2D2_F_X,APC2D2_X_X,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D3_C_F,APC2D3_C_Cl,APC2D3_C_Br,APC2D3_C_X,APC2D3_N_O,APC2D3_O_S,APC2D4_C_C,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D4_C_F,APC2D4_C_Cl,APC2D4_C_Br,APC2D4_C_X,APC2D4_N_O,APC2D4_O_O,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_C_F,APC2D5_C_Cl,APC2D5_C_X,APC2D5_N_O,APC2D5_N_X,APC2D5_O_X,APC2D6_C_C,APC2D6_C_N,APC2D6_C_O,APC2D6_C_S,APC2D6_C_F,APC2D6_C_Cl,APC2D6_C_Br,APC2D6_C_X,APC2D6_N_O,APC2D6_O_F,APC2D6_O_X,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_S,APC2D7_C_F,APC2D7_C_Cl,APC2D7_C_Br,APC2D7_C_X,APC2D8_C_C,APC2D8_C_N,APC2D8_C_O,APC2D8_C_S,APC2D8_C_F,APC2D8_C_Cl,APC2D8_C_Br,APC2D8_C_X,APC2D8_O_F,APC2D8_O_X,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_C_S,APC2D9_C_F,APC2D9_C_Cl,APC2D9_C_Br,APC2D9_C_X,APC2D9_O_O,APC2D9_O_X,APC2D10_C_C,APC2D10_C_N,APC2D10_C_O,APC2D10_C_S,APC2D10_C_F,APC2D10_C_Cl,APC2D10_C_X,APC2D10_O_O,APC2D10_O_Cl,APC2D10_O_X,KRFPC1,KRFPC297,KRFPC298,KRFPC341,KRFPC344,KRFPC669,KRFPC1148,KRFPC1566,KRFPC1645,KRFPC2260,KRFPC2949,KRFPC2975,KRFPC3058,KRFPC3224,KRFPC3369,KRFPC3440,KRFPC3640,KRFPC3659,KRFPC3660,KRFPC3682,KRFPC3692,KRFPC3706,KRFPC3712,KRFPC3719,KRFPC3722,KRFPC3727,KRFPC3730,KRFPC3733,KRFPC3737,KRFPC3740,KRFPC3744,KRFPC3750,KRFPC3773,KRFPC3788,KRFPC3882,KRFPC3926,KRFPC3956,KRFPC4032,KRFPC4067,KRFPC4080,KRFPC4329,KRFPC4331,KRFPC4813,SubFPC1,SubFPC2,SubFPC9,SubFPC137,SubFPC172,SubFPC181,SubFPC184,SubFPC274,SubFPC275,SubFPC287,SubFPC295,SubFPC300,SubFPC301,SubFPC302,SubFPC307
CHEMBL402392,IC50,12.59,15.0,5.0,2.0,2.0,3.0,3.0,0.0,23.0,5.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,19.0,7.0,2.0,3.0,6.0,0.0,0.0,6.0,2.0,0.0,19.0,7.0,2.0,3.0,6.0,0.0,0.0,6.0,0.0,0.0,20.0,5.0,0.0,3.0,3.0,0.0,3.0,2.0,3.0,0.0,17.0,3.0,4.0,3.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,2.0,6.0,2.0,3.0,0.0,0.0,3.0,9.0,0.0,6.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,3.0,14.0,3.0,2.0,9.0,4.0,4.0,4.0,15.0
CHEMBL254764,IC50,31.62,15.0,5.0,2.0,2.0,0.0,1.0,0.0,24.0,5.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,7.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,20.0,6.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,19.0,6.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,19.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,6.0,3.0,0.0,3.0,0.0,3.0,8.0,0.0,6.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,14.0,3.0,2.0,9.0,5.0,5.0,3.0,14.0
CHEMBL257464,IC50,19.95,17.0,2.0,6.0,0.0,0.0,1.0,0.0,21.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,18.0,1.0,9.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,14.0,2.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,17.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,19.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,18.0,1.0,6.0,0.0,0.0,3.0,0.0,3.0,11.0,2.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,17.0,2.0,2.0,8.0,4.0,4.0,6.0,16.0
CHEMBL233134,IC50,19.95,21.0,4.0,4.0,1.0,0.0,3.0,2.0,24.0,8.0,6.0,4.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,22.0,7.0,11.0,5.0,0.0,6.0,0.0,6.0,1.0,0.0,18.0,8.0,14.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,21.0,10.0,12.0,2.0,0.0,3.0,3.0,2.0,0.0,2.0,23.0,11.0,10.0,1.0,0.0,4.0,0.0,4.0,2.0,0.0,5.0,21.0,10.0,5.0,1.0,0.0,7.0,0.0,7.0,17.0,7.0,5.0,2.0,0.0,8.0,0.0,8.0,0.0,0.0,18.0,3.0,5.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,20.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,23.0,3.0,4.0,9.0,5.0,5.0,8.0,22.0
CHEMBL401432,IC50,398.11,24.0,4.0,2.0,1.0,0.0,1.0,2.0,28.0,8.0,4.0,4.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,26.0,8.0,9.0,5.0,0.0,2.0,0.0,2.0,1.0,0.0,21.0,9.0,13.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,10.0,13.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,26.0,13.0,14.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,27.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,25.0,7.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,23.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,23.0,3.0,4.0,7.0,7.0,7.0,8.0,22.0
CHEMBL428370,IC50,12.59,27.0,0.0,4.0,0.0,0.0,2.0,0.0,36.0,0.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,33.0,0.0,9.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,32.0,0.0,9.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,34.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,34.0,0.0,6.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,29.0,0.0,8.0,0.0,0.0,1.0,3.0,4.0,25.0,0.0,6.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,13.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,6.0,4.0,7.0,7.0,6.0,21.0
CHEMBL1915253,IC50,10.0,22.0,5.0,3.0,0.0,0.0,1.0,0.0,27.0,11.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,27.0,6.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,25.0,6.0,6.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,24.0,10.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,27.0,7.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,25.0,5.0,3.0,0.0,0.0,5.0,0.0,5.0,15.0,6.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,15.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,16.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,3.0,2.0,8.0,7.0,7.0,5.0,21.0
CHEMBL390188,IC50,2.512,27.0,0.0,4.0,0.0,1.0,3.0,0.0,36.0,0.0,5.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,33.0,0.0,9.0,0.0,3.0,2.0,2.0,7.0,0.0,0.0,32.0,0.0,9.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,34.0,0.0,8.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,34.0,0.0,6.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,1.0,29.0,0.0,8.0,0.0,3.0,1.0,3.0,7.0,25.0,0.0,6.0,0.0,3.0,2.0,4.0,9.0,0.0,0.0,19.0,0.0,4.0,0.0,3.0,3.0,4.0,10.0,2.0,0.0,13.0,0.0,4.0,0.0,2.0,3.0,6.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,7.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,18.0,0.0,6.0,4.0,7.0,7.0,6.0,21.0
CHEMBL231699,IC50,251.19,23.0,4.0,1.0,1.0,0.0,1.0,2.0,27.0,6.0,3.0,4.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,24.0,6.0,9.0,5.0,0.0,2.0,0.0,2.0,1.0,0.0,19.0,7.0,12.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,7.0,12.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,24.0,8.0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,22.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,23.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,6.0,8.0,8.0,9.0,22.0
CHEMBL399614,IC50,7.943,22.0,4.0,4.0,1.0,0.0,2.0,2.0,26.0,8.0,6.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,24.0,7.0,11.0,5.0,0.0,4.0,0.0,4.0,1.0,0.0,19.0,8.0,14.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,21.0,10.0,12.0,3.0,0.0,3.0,3.0,2.0,0.0,2.0,23.0,12.0,12.0,1.0,0.0,4.0,0.0,4.0,2.0,0.0,3.0,23.0,10.0,5.0,1.0,0.0,5.0,0.0,5.0,20.0,7.0,5.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,20.0,4.0,6.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,22.0,1.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,23.0,3.0,4.0,9.0,6.0,6.0,8.0,22.0
CHEMBL234082,IC50,398.11,28.0,1.0,4.0,0.0,1.0,1.0,0.0,38.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,2.0,9.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,34.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,2.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,38.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32.0,4.0,8.0,0.0,1.0,0.0,0.0,1.0,29.0,3.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,23.0,4.0,4.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,14.0,4.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,18.0,0.0,6.0,5.0,7.0,7.0,6.0,21.0
CHEMBL479591,IC50,10.0,27.0,8.0,5.0,0.0,0.0,1.0,0.0,34.0,14.0,6.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,33.0,10.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,28.0,9.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,33.0,11.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36.0,8.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,30.0,11.0,6.0,0.0,0.0,4.0,0.0,4.0,24.0,11.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,25.0,7.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,26.0,5.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,23.0,4.0,2.0,13.0,15.0,15.0,10.0,25.0
CHEMBL494282,IC50,6.31,24.0,8.0,3.0,0.0,0.0,1.0,0.0,30.0,14.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,26.0,10.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,27.0,9.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,31.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31.0,8.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,22.0,11.0,4.0,0.0,0.0,4.0,0.0,4.0,19.0,9.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,22.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,6.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,17.0,3.0,2.0,11.0,16.0,16.0,10.0,20.0
CHEMBL494269,IC50,50.12,25.0,8.0,3.0,0.0,0.0,1.0,0.0,32.0,13.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,10.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,29.0,12.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,33.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,30.0,11.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,24.0,9.0,2.0,0.0,0.0,4.0,0.0,4.0,20.0,9.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,22.0,6.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,19.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,7.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,17.0,3.0,2.0,11.0,17.0,17.0,10.0,21.0
CHEMBL480002,IC50,25.12,21.0,5.0,4.0,0.0,0.0,1.0,0.0,26.0,9.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,23.0,8.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,19.0,11.0,8.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,24.0,9.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,24.0,10.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,9.0,2.0,0.0,0.0,4.0,0.0,4.0,18.0,5.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,19.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,17.0,2.0,2.0,9.0,11.0,11.0,9.0,19.0
CHEMBL379753,IC50,12.59,25.0,3.0,4.0,0.0,1.0,3.0,0.0,32.0,6.0,5.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,32.0,4.0,9.0,0.0,3.0,3.0,2.0,8.0,0.0,0.0,31.0,4.0,8.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,36.0,2.0,6.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,37.0,1.0,7.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,29.0,2.0,10.0,0.0,3.0,3.0,4.0,10.0,24.0,2.0,6.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,20.0,1.0,4.0,0.0,3.0,3.0,4.0,10.0,2.0,0.0,15.0,0.0,4.0,0.0,3.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,23.0,1.0,2.0,7.0,4.0,4.0,4.0,24.0
CHEMBL211534,IC50,1.0,25.0,3.0,4.0,0.0,2.0,3.0,0.0,32.0,6.0,5.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,32.0,4.0,9.0,0.0,6.0,0.0,2.0,8.0,0.0,0.0,31.0,4.0,8.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,36.0,2.0,6.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,37.0,1.0,7.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,29.0,2.0,10.0,0.0,6.0,0.0,4.0,10.0,24.0,2.0,6.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,20.0,1.0,4.0,0.0,6.0,0.0,4.0,10.0,2.0,0.0,15.0,0.0,4.0,0.0,6.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,23.0,1.0,2.0,7.0,4.0,4.0,4.0,24.0
CHEMBL209326,IC50,199.53,25.0,3.0,4.0,0.0,4.0,5.0,0.0,32.0,6.0,5.0,0.0,5.0,2.0,0.0,7.0,0.0,3.0,3.0,3.0,32.0,4.0,9.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,31.0,4.0,8.0,0.0,10.0,2.0,0.0,12.0,1.0,0.0,36.0,2.0,6.0,0.0,10.0,1.0,11.0,2.0,1.0,1.0,37.0,1.0,7.0,0.0,12.0,4.0,0.0,16.0,0.0,1.0,1.0,29.0,2.0,10.0,0.0,13.0,4.0,0.0,17.0,24.0,2.0,6.0,0.0,8.0,4.0,0.0,12.0,6.0,6.0,20.0,1.0,4.0,0.0,6.0,4.0,0.0,10.0,2.0,0.0,15.0,0.0,4.0,0.0,8.0,1.0,9.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,23.0,1.0,2.0,7.0,3.0,3.0,5.0,25.0
CHEMBL212742,IC50,25.12,25.0,3.0,4.0,2.0,0.0,0.0,2.0,33.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,2.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,38.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,28.0,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,23.0,1.0,6.0,9.0,5.0,5.0,5.0,25.0
